"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Shankarpur","Shankarpur","26.1821","87.1552","India","IN","IND","Bihār","","8849","1356422287"
"Birkenau","Birkenau","49.5607","8.7061","Germany","DE","DEU","Hesse","","9857","1276778911"
"Steinen","Steinen","47.6453","7.7403","Germany","DE","DEU","Baden-Württemberg","","10049","1276597549"
"Pristina","Pristina","42.6633","21.1622","Kosovo","XK","XKS","Prishtinë","primary","161751","1901760068"
"Bridgeport","Bridgeport","41.1918","-73.1954","United States","US","USA","Connecticut","","975078","1840004836"
"New Orleans","New Orleans","30.0687","-89.9288","United States","US","USA","Louisiana","","925443","1840001839"
"Zürich","Zurich","47.3744","8.5411","Switzerland","CH","CHE","Zürich","admin","436332","1756539143"
"Bergen","Bergen","60.3894","5.3300","Norway","NO","NOR","Vestland","admin","267117","1578465701"
"Uppsala","Uppsala","59.8581","17.6447","Sweden","SE","SWE","Uppsala","admin","166698","1752953686"
"Cagliari","Cagliari","39.2278","9.1111","Italy","IT","ITA","Sardegna","admin","154106","1380685705"
"Hanam","Hanam","37.5167","127.2000","South Korea","KR","KOR","Gyeonggi","","154838","1410241338"
"Capas","Capas","15.3372","120.5900","Philippines","PH","PHL","Tarlac","","156056","1608379387"
"Alagoinhas","Alagoinhas","-12.1358","-38.4189","Brazil","BR","BRA","Bahia","","154495","1076155953"
"Edremit","Edremit","39.5922","27.0200","Turkey","TR","TUR","Balıkesir","minor","154487","1792678708"
"Bandırma","Bandirma","40.3500","27.9667","Turkey","TR","TUR","Balıkesir","minor","154359","1792423107"
"Salavat","Salavat","53.3667","55.9333","Russia","RU","RUS","Bashkortostan","","153181","1643996483"